"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
7450,-34.44,7400
7450,-34.54,7400
7500,-34.54,7450
7500,-35.02,7450
7550,-35.02,7500
7550,-34.62,7500
7600,-34.62,7550
7600,-34.55,7550
7650,-34.55,7600
7650,-34.42,7600
7700,-34.42,7650
7700,-34.26,7650
7750,-34.26,7700
7750,-34.3,7700
7800,-34.3,7750
7800,-34.23,7750
7850,-34.23,7800
7850,-34.38,7800
7900,-34.38,7850
7900,-34.53,7850
7950,-34.53,7900
7950,-34.44,7900
8000,-34.44,7950
8000,-34.69,7950
8050,-34.69,8000
8050,-34.99,8000
8100,-34.99,8050
8100,-35.15,8050
8150,-35.15,8100
8150,-35.35,8100
8200,-35.35,8150
8200,-36.29,8150
8250,-36.29,8200
8250,-35.36,8200
8300,-35.36,8250
8300,-34.6,8250
8350,-34.6,8300
8350,-34.72,8300
8400,-34.72,8350
8400,-34.8,8350
8450,-34.8,8400
8450,-34.71,8400
8500,-34.71,8450
8500,-34.72,8450
8550,-34.72,8500
8550,-34.72,8500
8600,-34.72,8550
8600,-34.56,8550
8650,-34.56,8600
8650,-34.7,8600
8700,-34.7,8650
8700,-34.58,8650
8750,-34.58,8700
8750,-34.35,8700
8800,-34.35,8750
8800,-34.48,8750
8850,-34.48,8800
8850,-34.77,8800
8900,-34.77,8850
8900,-34.13,8850
8950,-34.13,8900
8950,-34.33,8900
9000,-34.33,8950
9000,-34.81,8950
9050,-34.81,9000
9050,-34.53,9000
9100,-34.53,9050
9100,-34.4,9050
9150,-34.4,9100
9150,-34.59,9100
9200,-34.59,9150
9200,-34.73,9150
9250,-34.73,9200
9250,-35.06,9200
9300,-35.06,9250
9300,-34.79,9250
9350,-34.79,9300
9350,-34.31,9300
9400,-34.31,9350
9400,-34.22,9350
9450,-34.22,9400
9450,-34.7,9400
9500,-34.7,9450
9500,-35.31,9450
9550,-35.31,9500
9550,-35.03,9500
9600,-35.03,9550
9600,-34.76,9550
9650,-34.76,9600
9650,-34.49,9600
9700,-34.49,9650
9700,-34.71,9650
9750,-34.71,9700
9750,-34.31,9700
9800,-34.31,9750
9800,-34.69,9750
9850,-34.69,9800
9850,-34.96,9800
9900,-34.96,9850
9900,-35.09,9850
9950,-35.09,9900
9950,-34.74,9900
10000,-34.74,9950
10000,-34.51,9950
10050,-34.51,10000
10050,-34.99,10000
10100,-34.99,10050
10100,-35.41,10050
10150,-35.41,10100
10150,-35.43,10100
10200,-35.43,10150
10200,-34.85,10150
10250,-34.85,10200
10250,-35.53,10200
10300,-35.53,10250
10300,-35.35,10250
10350,-35.35,10300
10350,-35.6,10300
10400,-35.6,10350
10400,-36,10350
10450,-36,10400
10450,-35.74,10400
10500,-35.74,10450
10500,-35.43,10450
10550,-35.43,10500
10550,-35.86,10500
10600,-35.86,10550
10600,-35.71,10550
10650,-35.71,10600
10650,-35.78,10600
10700,-35.78,10650
10700,-35.93,10650
10750,-35.93,10700
10750,-36.24,10700
10800,-36.24,10750
10800,-35.78,10750
10850,-35.78,10800
10850,-35.99,10800
10900,-35.99,10850
10900,-36.47,10850
10950,-36.47,10900
10950,-36.75,10900
11000,-36.75,10950
11000,-36.53,10950
11050,-36.53,11000
11050,-36.29,11000
11100,-36.29,11050
11100,-36.47,11050
11150,-36.47,11100
11150,-36.51,11100
11200,-36.51,11150
11200,-36.88,11150
11250,-36.88,11200
11250,-36.03,11200
11300,-36.03,11250
11300,-36.63,11250
11350,-36.63,11300
11350,-36.69,11300
11400,-36.69,11350
11400,-37.95,11350
11450,-37.95,11400
11450,-37.28,11400
11500,-37.28,11450
11500,-36.78,11450
11550,-36.78,11500
11550,-36.36,11500
11600,-36.36,11550
11600,-36.48,11550
11650,-36.48,11600
11650,-37.63,11600
11700,-37.63,11650
11700,-40.07,11650
11750,-40.07,11700
11750,-39.23,11700
11800,-39.23,11750
11800,-39.77,11750
11850,-39.77,11800
11850,-40.54,11800
11900,-40.54,11850
11900,-40.3,11850
11950,-40.3,11900
11950,-39.28,11900
12000,-39.28,11950
12000,-39.1,11950
12050,-39.1,12000
12050,-39.36,12000
12100,-39.36,12050
12100,-40.07,12050
12150,-40.07,12100
12150,-39.8,12100
12200,-39.8,12150
12200,-40.47,12150
12250,-40.47,12200
12250,-40.12,12200
12300,-40.12,12250
12300,-39.28,12250
12350,-39.28,12300
12350,-40.58,12300
12400,-40.58,12350
12400,-39.25,12350
12450,-39.25,12400
12450,-40.8,12400
12500,-40.8,12450
12500,-40.37,12450
12550,-40.37,12500
12550,-40.47,12500
12600,-40.47,12550
12600,-41.38,12550
12650,-41.38,12600
12650,-40.75,12600
12700,-40.75,12650
12700,-39.2,12650
12750,-39.2,12700
12750,-40.24,12700
12800,-40.24,12750
12800,-39.55,12750
12850,-39.55,12800
12850,-39,12800
12900,-39,12850
12900,-38.25,12850
12950,-38.25,12900
12950,-38.19,12900
13000,-38.19,12950
13000,-38.02,12950
13050,-38.02,13000
13050,-38.58,13000
13100,-38.58,13050
13100,-40.59,13050
13150,-40.59,13100
13150,-39.32,13100
13200,-39.32,13150
13200,-39.45,13150
13250,-39.45,13200
13250,-38.26,13200
13300,-38.26,13250
13300,-38.16,13250
13350,-38.16,13300
13350,-37.54,13300
13400,-37.54,13350
13400,-38.04,13350
13450,-38.04,13400
13450,-37.33,13400
13500,-37.33,13450
13500,-37.56,13450
13550,-37.56,13500
13550,-37.39,13500
13600,-37.39,13550
13600,-38.06,13550
13650,-38.06,13600
13650,-37.54,13600
13700,-37.54,13650
13700,-37.73,13650
13750,-37.73,13700
13750,-37.24,13700
13800,-37.24,13750
13800,-37.81,13750
13850,-37.81,13800
13850,-37.82,13800
13900,-37.82,13850
13900,-37.48,13850
13950,-37.48,13900
13950,-38.13,13900
14000,-38.13,13950
14000,-39.22,13950
14050,-39.22,14000
14050,-38.46,14000
14100,-38.46,14050
14100,-37.56,14050
14150,-37.56,14100
14150,-37.57,14100
14200,-37.57,14150
14200,-36.92,14150
14250,-36.92,14200
14250,-36.65,14200
14300,-36.65,14250
14300,-35.79,14250
14350,-35.79,14300
14350,-36.36,14300
14400,-36.36,14350
14400,-35.82,14350
14450,-35.82,14400
14450,-35.47,14400
14500,-35.47,14450
14500,-35.25,14450
14550,-35.25,14500
