"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
31650,"NaN",31600
31650,-43.25,31600
31700,-43.25,31650
31700,-41.72,31650
31750,-41.72,31700
31750,-42.04,31700
31800,-42.04,31750
31800,-41.73,31750
31850,-41.73,31800
31850,-42.08,31800
31900,-42.08,31850
31900,-42.25,31850
31950,-42.25,31900
31950,-40.81,31900
32000,-40.81,31950
32000,-40.54,31950
32050,-40.54,32000
32050,-39.83,32000
32100,-39.83,32050
32100,-40.09,32050
32150,-40.09,32100
32150,-39.32,32100
32200,-39.32,32150
32200,-39.13,32150
32250,-39.13,32200
32250,-39.09,32200
32300,-39.09,32250
32300,-38.85,32250
32350,-38.85,32300
32350,-38.02,32300
32400,-38.02,32350
32400,-38.12,32350
32450,-38.12,32400
32450,-38.47,32400
32500,-38.47,32450
32500,-41.21,32450
32550,-41.21,32500
32550,-41.85,32500
32600,-41.85,32550
32600,-41.29,32550
32650,-41.29,32600
32650,-41.42,32600
32700,-41.42,32650
32700,-42.37,32650
32750,-42.37,32700
32750,-42.29,32700
32800,-42.29,32750
32800,-42.66,32750
32850,-42.66,32800
32850,-43.03,32800
32900,-43.03,32850
32900,-41.53,32850
32950,-41.53,32900
32950,-42.46,32900
33000,-42.46,32950
33000,-42.52,32950
33050,-42.52,33000
33050,-42.88,33000
33100,-42.88,33050
33100,-41.71,33050
33150,-41.71,33100
33150,-42.85,33100
33200,-42.85,33150
33200,-42.27,33150
33250,-42.27,33200
33250,-43.78,33200
33300,-43.78,33250
33300,-42.83,33250
33350,-42.83,33300
33350,-41.23,33300
33400,-41.23,33350
33400,-39.73,33350
33450,-39.73,33400
33450,-39.3,33400
33500,-39.3,33450
33500,-38.94,33450
33550,-38.94,33500
33550,-38.93,33500
33600,-38.93,33550
33600,-38.98,33550
33650,-38.98,33600
33650,-37.96,33600
33700,-37.96,33650
33700,-40.06,33650
33750,-40.06,33700
33750,-40.77,33700
33800,-40.77,33750
33800,-41.05,33750
33850,-41.05,33800
33850,-41.97,33800
33900,-41.97,33850
33900,-41.36,33850
33950,-41.36,33900
33950,-41.7,33900
34000,-41.7,33950
34000,-42.28,33950
34050,-42.28,34000
34050,-41.51,34000
34100,-41.51,34050
34100,-40.64,34050
34150,-40.64,34100
34150,-41.44,34100
34200,-41.44,34150
34200,-41.32,34150
34250,-41.32,34200
34250,-42.02,34200
34300,-42.02,34250
34300,-42.02,34250
34350,-42.02,34300
34350,-42.22,34300
34400,-42.22,34350
34400,-42.19,34350
34450,-42.19,34400
34450,-41.83,34400
34500,-41.83,34450
34500,-42.35,34450
34550,-42.35,34500
34550,-41.22,34500
34600,-41.22,34550
34600,-42.58,34550
34650,-42.58,34600
34650,-42,34600
34700,-42,34650
34700,-40.91,34650
34750,-40.91,34700
34750,-39.29,34700
34800,-39.29,34750
34800,-39.55,34750
34850,-39.55,34800
34850,-39.44,34800
34900,-39.44,34850
34900,-39.88,34850
34950,-39.88,34900
34950,-40.26,34900
35000,-40.26,34950
35000,-40.07,34950
35050,-40.07,35000
35050,-38.89,35000
35100,-38.89,35050
35100,-39.22,35050
35150,-39.22,35100
35150,-38.25,35100
35200,-38.25,35150
35200,-38.23,35150
35250,-38.23,35200
35250,-38.91,35200
35300,-38.91,35250
35300,-38.25,35250
35350,-38.25,35300
35350,-38.17,35300
35400,-38.17,35350
35400,-38.01,35350
35450,-38.01,35400
35450,-39.43,35400
35500,-39.43,35450
35500,-41.38,35450
35550,-41.38,35500
35550,-41.86,35500
35600,-41.86,35550
35600,-42.13,35550
35650,-42.13,35600
35650,-40.9,35600
35700,-40.9,35650
35700,-42.09,35650
35750,-42.09,35700
35750,-42.48,35700
35800,-42.48,35750
35800,-42.07,35750
35850,-42.07,35800
35850,-41.99,35800
35900,-41.99,35850
35900,-40.97,35850
35950,-40.97,35900
35950,-43.4,35900
36000,-43.4,35950
36000,-43.76,35950
36050,-43.76,36000
36050,-41.92,36000
36100,-41.92,36050
36100,-41.72,36050
36150,-41.72,36100
36150,-41.64,36100
36200,-41.64,36150
36200,-41.78,36150
36250,-41.78,36200
36250,-41.6,36200
36300,-41.6,36250
36300,-42.15,36250
36350,-42.15,36300
36350,-41.56,36300
36400,-41.56,36350
36400,-41.81,36350
36450,-41.81,36400
36450,-41.15,36400
36500,-41.15,36450
36500,-41.91,36450
36550,-41.91,36500
36550,-41.72,36500
36600,-41.72,36550
36600,-40.47,36550
36650,-40.47,36600
36650,-39.5,36600
36700,-39.5,36650
36700,-39.02,36650
36750,-39.02,36700
36750,-40,36700
36800,-40,36750
36800,-38.97,36750
36850,-38.97,36800
36850,-39.97,36800
36900,-39.97,36850
36900,-40.94,36850
36950,-40.94,36900
36950,-40.35,36900
37000,-40.35,36950
37000,-41.05,36950
37050,-41.05,37000
37050,-39.7,37000
37100,-39.7,37050
37100,-39.54,37050
37150,-39.54,37100
37150,-38.76,37100
37200,-38.76,37150
37200,-38.49,37150
37250,-38.49,37200
37250,-38.83,37200
37300,-38.83,37250
37300,-38.47,37250
37350,-38.47,37300
37350,"NaN",37300
37400,"NaN",37350
37400,-38.73,37350
37450,-38.73,37400
37450,-38.16,37400
37500,-38.16,37450
37500,-38.06,37450
37550,-38.06,37500
37550,-38.67,37500
37600,-38.67,37550
37600,-37.98,37550
37650,-37.98,37600
37650,-37.99,37600
37700,-37.99,37650
37700,-37.81,37650
37750,-37.81,37700
37750,-37.56,37700
37800,-37.56,37750
37800,-37.59,37750
37850,-37.59,37800
37850,-37.47,37800
37900,-37.47,37850
37900,-37.92,37850
37950,-37.92,37900
37950,-37.68,37900
38000,-37.68,37950
38000,-37.5,37950
38050,-37.5,38000
38050,-37.41,38000
38100,-37.41,38050
38100,-37.23,38050
38150,-37.23,38100
38150,-37.06,38100
38200,-37.06,38150
38200,-40.03,38150
38250,-40.03,38200
38250,-41.13,38200
38300,-41.13,38250
38300,-41.08,38250
38350,-41.08,38300
38350,-41.73,38300
38400,-41.73,38350
38400,-42.07,38350
38450,-42.07,38400
38450,-40.75,38400
38500,-40.75,38450
38500,-41.7,38450
38550,-41.7,38500
38550,-41.06,38500
38600,-41.06,38550
38600,-41.91,38550
38650,-41.91,38600
38650,-40.53,38600
38700,-40.53,38650
38700,-41.18,38650
38750,-41.18,38700
38750,-41.7,38700
38800,-41.7,38750
38800,-40.8,38750
38850,-40.8,38800
38850,-41.7,38800
38900,-41.7,38850
38900,-41.26,38850
38950,-41.26,38900
38950,-41.27,38900
39000,-41.27,38950
39000,-41.9,38950
39050,-41.9,39000
39050,-41.77,39000
39100,-41.77,39050
39100,-41.41,39050
39150,-41.41,39100
39150,-41.07,39100
39200,-41.07,39150
39200,-40.61,39150
39250,-40.61,39200
39250,-40.44,39200
39300,-40.44,39250
39300,-41.05,39250
39350,-41.05,39300
39350,-42.51,39300
39400,-42.51,39350
39400,-42.07,39350
39450,-42.07,39400
39450,-42.13,39400
39500,-42.13,39450
39500,-42.18,39450
39550,-42.18,39500
39550,-41.35,39500
39600,-41.35,39550
39600,-41.39,39550
39650,-41.39,39600
39650,-41.52,39600
39700,-41.52,39650
39700,-42.07,39650
39750,-42.07,39700
39750,-41.61,39700
39800,-41.61,39750
39800,-41.52,39750
39850,-41.52,39800
39850,-40.78,39800
39900,-40.78,39850
39900,-41.23,39850
39950,-41.23,39900
39950,-40.69,39900
40000,-40.69,39950
40000,-39.4,39950
40050,-39.4,40000
40050,-38.63,40000
40100,-38.63,40050
40100,-39.12,40050
40150,-39.12,40100
40150,-40.52,40100
40200,-40.52,40150
40200,-40.32,40150
40250,-40.32,40200
40250,-39.94,40200
40300,-39.94,40250
40300,-40.48,40250
40350,-40.48,40300
40350,-40.22,40300
40400,-40.22,40350
40400,-41.79,40350
40450,-41.79,40400
40450,-41.35,40400
40500,-41.35,40450
40500,-40.29,40450
40550,-40.29,40500
40550,-41.05,40500
40600,-41.05,40550
40600,-40.85,40550
40650,-40.85,40600
40650,-41.03,40600
40700,-41.03,40650
40700,-42.49,40650
40750,-42.49,40700
40750,-41.65,40700
40800,-41.65,40750
40800,-40.62,40750
40850,-40.62,40800
40850,-41.05,40800
40900,-41.05,40850
40900,-40.57,40850
40950,-40.57,40900
40950,-40.01,40900
41000,-40.01,40950
41000,-38.87,40950
41050,-38.87,41000
41050,-38.78,41000
41100,-38.78,41050
41100,-38.47,41050
41150,-38.47,41100
41150,-39.02,41100
41200,-39.02,41150
41200,-39.16,41150
41250,-39.16,41200
41250,-39.04,41200
41300,-39.04,41250
41300,-37.99,41250
41350,-37.99,41300
41350,-38.1,41300
41400,-38.1,41350
41400,-37.76,41350
41450,-37.76,41400
41450,-40.54,41400
41500,-40.54,41450
41500,-40.73,41450
41550,-40.73,41500
41550,-41.38,41500
41600,-41.38,41550
41600,-40.8,41550
41650,-40.8,41600
41650,-41.2,41600
41700,-41.2,41650
41700,-40.78,41650
41750,-40.78,41700
41750,-41.73,41700
41800,-41.73,41750
41800,-41.17,41750
41850,-41.17,41800
41850,-41.49,41800
41900,-41.49,41850
41900,-41.54,41850
41950,-41.54,41900
41950,-41.54,41900
42000,-41.54,41950
42000,-41.66,41950
42050,-41.66,42000
42050,-41.41,42000
42100,-41.41,42050
42100,-41.58,42050
42150,-41.58,42100
42150,-41.9,42100
42200,-41.9,42150
42200,-40.43,42150
42250,-40.43,42200
42250,-39.35,42200
42300,-39.35,42250
42300,-39.53,42250
42350,-39.53,42300
42350,-39.6,42300
42400,-39.6,42350
42400,-39.86,42350
42450,-39.86,42400
42450,-39.09,42400
42500,-39.09,42450
42500,-40.17,42450
42550,-40.17,42500
42550,-39.63,42500
42600,-39.63,42550
42600,-39.59,42550
42650,-39.59,42600
42650,-38.71,42600
42700,-38.71,42650
42700,-39.02,42650
42750,-39.02,42700
42750,-38.55,42700
42800,-38.55,42750
42800,-38.48,42750
42850,-38.48,42800
42850,-37.98,42800
42900,-37.98,42850
42900,-38.54,42850
42950,-38.54,42900
42950,-38.53,42900
43000,-38.53,42950
43000,-38.18,42950
43050,-38.18,43000
43050,-38.17,43000
43100,-38.17,43050
43100,-38.52,43050
43150,-38.52,43100
43150,-37.53,43100
43200,-37.53,43150
43200,-38.41,43150
43250,-38.41,43200
43250,-37.96,43200
43300,-37.96,43250
43300,-38.2,43250
43350,-38.2,43300
43350,-40.97,43300
43400,-40.97,43350
43400,-41.64,43350
43450,-41.64,43400
43450,-41.94,43400
43500,-41.94,43450
43500,-41.76,43450
43550,-41.76,43500
43550,-41.97,43500
43600,-41.97,43550
43600,-41.72,43550
43650,-41.72,43600
43650,-42.08,43600
43700,-42.08,43650
43700,-42.21,43650
43750,-42.21,43700
43750,-41.54,43700
43800,-41.54,43750
43800,-40.5,43750
43850,-40.5,43800
43850,-42.04,43800
43900,-42.04,43850
43900,-41.33,43850
43950,-41.33,43900
43950,-41.2,43900
44000,-41.2,43950
44000,-42.1,43950
44050,-42.1,44000
44050,-40.94,44000
44100,-40.94,44050
44100,-40.69,44050
44150,-40.69,44100
44150,-41.45,44100
44200,-41.45,44150
44200,-41.24,44150
44250,-41.24,44200
44250,-41.21,44200
44300,-41.21,44250
44300,-40.18,44250
44350,-40.18,44300
44350,-38.97,44300
44400,-38.97,44350
44400,-38.38,44350
44450,-38.38,44400
44450,-38.48,44400
44500,-38.48,44450
44500,-39.23,44450
44550,-39.23,44500
44550,-41.16,44500
44600,-41.16,44550
44600,-39.98,44550
44650,-39.98,44600
44650,-39.21,44600
44700,-39.21,44650
44700,-39.84,44650
44750,-39.84,44700
44750,-39.91,44700
44800,-39.91,44750
44800,-39.59,44750
44850,-39.59,44800
44850,-40.05,44800
44900,-40.05,44850
44900,-39.68,44850
44950,-39.68,44900
44950,-39.54,44900
45000,-39.54,44950
45000,-39.52,44950
45050,-39.52,45000
45050,-39.7,45000
45100,-39.7,45050
45100,-38.93,45050
45150,-38.93,45100
45150,-38.82,45100
45200,-38.82,45150
45200,-39.64,45150
45250,-39.64,45200
45250,-38.56,45200
45300,-38.56,45250
45300,-39.51,45250
45350,-39.51,45300
45350,-39.48,45300
45400,-39.48,45350
45400,-39.06,45350
45450,-39.06,45400
45450,-38.29,45400
45500,-38.29,45450
45500,-38.61,45450
45550,-38.61,45500
45550,-38.86,45500
45600,-38.86,45550
45600,-38.31,45550
45650,-38.31,45600
45650,-38.17,45600
45700,-38.17,45650
45700,-38.27,45650
45750,-38.27,45700
45750,-37.76,45700
45800,-37.76,45750
45800,-38.19,45750
45850,-38.19,45800
45850,-38.41,45800
45900,-38.41,45850
45900,-38.29,45850
45950,-38.29,45900
45950,-38.15,45900
46000,-38.15,45950
46000,-38.1,45950
46050,-38.1,46000
46050,-37.97,46000
46100,-37.97,46050
46100,-38.01,46050
46150,-38.01,46100
46150,-37.46,46100
46200,-37.46,46150
46200,-37.29,46150
46250,-37.29,46200
46250,-37.48,46200
46300,-37.48,46250
46300,-36.91,46250
46350,-36.91,46300
46350,-37.05,46300
46400,-37.05,46350
46400,-37.52,46350
46450,-37.52,46400
46450,-37.5,46400
46500,-37.5,46450
46500,-36.82,46450
46550,-36.82,46500
46550,-37.02,46500
46600,-37.02,46550
46600,-36.82,46550
46650,-36.82,46600
46650,-37.88,46600
46700,-37.88,46650
46700,-36.55,46650
46750,-36.55,46700
46750,-36.73,46700
46800,-36.73,46750
46800,-36.69,46750
46850,-36.69,46800
46850,-40.02,46800
46900,-40.02,46850
46900,-41.1,46850
46950,-41.1,46900
46950,-41.07,46900
47000,-41.07,46950
47000,-41.37,46950
47050,-41.37,47000
47050,-40.05,47000
47100,-40.05,47050
47100,-41.2,47050
47150,-41.2,47100
47150,-41.19,47100
47200,-41.19,47150
47200,-40.66,47150
47250,-40.66,47200
47250,-40.63,47200
47300,-40.63,47250
47300,-39.87,47250
47350,-39.87,47300
47350,-40.08,47300
47400,-40.08,47350
47400,-40.49,47350
47450,-40.49,47400
47450,-40.36,47400
47500,-40.36,47450
47500,-40.24,47450
47550,-40.24,47500
47550,-40.72,47500
47600,-40.72,47550
47600,-40.34,47550
47650,-40.34,47600
47650,-41.25,47600
47700,-41.25,47650
47700,-40.91,47650
47750,-40.91,47700
47750,-41.2,47700
47800,-41.2,47750
47800,-40.31,47750
47850,-40.31,47800
47850,-41.11,47800
47900,-41.11,47850
47900,-40.15,47850
47950,-40.15,47900
47950,-40.6,47900
48000,-40.6,47950
48000,-41.57,47950
48050,-41.57,48000
48050,-41.61,48000
48100,-41.61,48050
48100,-40.92,48050
48150,-40.92,48100
48150,-40.35,48100
48200,-40.35,48150
48200,-41.42,48150
48250,-41.42,48200
48250,-41.06,48200
48300,-41.06,48250
48300,-40.24,48250
48350,-40.24,48300
48350,-40.11,48300
48400,-40.11,48350
48400,-39.32,48350
48450,-39.32,48400
48450,-39.58,48400
48500,-39.58,48450
48500,-39.72,48450
48550,-39.72,48500
48550,-39.52,48500
48600,-39.52,48550
48600,-39.39,48550
48650,-39.39,48600
48650,-39.52,48600
48700,-39.52,48650
48700,-39.25,48650
48750,-39.25,48700
48750,-39.28,48700
48800,-39.28,48750
48800,-39.56,48750
48850,-39.56,48800
48850,-38.3,48800
48900,-38.3,48850
48900,-38.07,48850
48950,-38.07,48900
48950,-38.35,48900
49000,-38.35,48950
49000,-38.79,48950
49050,-38.79,49000
49050,-39.8,49000
49100,-39.8,49050
49100,-39.34,49050
49150,-39.34,49100
49150,-38.42,49100
49200,-38.42,49150
49200,-38.44,49150
49250,-38.44,49200
49250,-38.37,49200
49300,-38.37,49250
49300,-40.87,49250
49350,-40.87,49300
49350,-40.61,49300
49400,-40.61,49350
49400,-40.51,49350
49450,-40.51,49400
49450,-40.22,49400
49500,-40.22,49450
49500,-40.15,49450
49550,-40.15,49500
49550,-39.6,49500
49600,-39.6,49550
49600,-38.69,49550
49650,-38.69,49600
49650,-38.82,49600
49700,-38.82,49650
49700,-39.2,49650
49750,-39.2,49700
49750,-39.49,49700
49800,-39.49,49750
49800,-39.38,49750
49850,-39.38,49800
49850,-39.62,49800
49900,-39.62,49850
49900,-39.97,49850
49950,-39.97,49900
49950,-39.87,49900
50000,-39.87,49950
50000,-39.65,49950
50050,-39.65,50000
50050,-38.79,50000
50100,-38.79,50050
50100,-39.48,50050
50150,-39.48,50100
50150,-40.04,50100
50200,-40.04,50150
50200,-39.56,50150
50250,-39.56,50200
50250,-39.36,50200
50300,-39.36,50250
50300,-39.22,50250
50350,-39.22,50300
50350,-38.91,50300
50400,-38.91,50350
50400,-39.95,50350
50450,-39.95,50400
50450,-39.29,50400
50500,-39.29,50450
50500,-39.56,50450
50550,-39.56,50500
50550,-38.81,50500
50600,-38.81,50550
50600,-38.87,50550
50650,-38.87,50600
50650,-38.76,50600
50700,-38.76,50650
50700,-39.52,50650
50750,-39.52,50700
50750,-39.31,50700
50800,-39.31,50750
50800,-40.12,50750
50850,-40.12,50800
50850,-39.12,50800
50900,-39.12,50850
50900,-39.1,50850
50950,-39.1,50900
50950,-39.24,50900
51000,-39.24,50950
51000,-39.91,50950
51050,-39.91,51000
51050,-39.36,51000
51100,-39.36,51050
51100,-39.39,51050
51150,-39.39,51100
51150,-39.1,51100
51200,-39.1,51150
51200,-38.88,51150
51250,-38.88,51200
51250,-39.01,51200
51300,-39.01,51250
51300,-38.23,51250
51350,-38.23,51300
51350,-38.91,51300
51400,-38.91,51350
51400,-39.38,51350
51450,-39.38,51400
51450,-38.7,51400
51500,-38.7,51450
51500,-39.27,51450
51550,-39.27,51500
51550,-39.81,51500
51600,-39.81,51550
51600,-39.12,51550
51650,-39.12,51600
51650,-38.91,51600
51700,-38.91,51650
51700,-37.96,51650
51750,-37.96,51700
51750,-38.06,51700
51800,-38.06,51750
51800,-39.06,51750
51850,-39.06,51800
51850,-38.81,51800
51900,-38.81,51850
51900,-38.19,51850
51950,-38.19,51900
51950,-37.99,51900
52000,-37.99,51950
52000,-38.53,51950
52050,-38.53,52000
52050,-38.56,52000
52100,-38.56,52050
52100,-38.42,52050
52150,-38.42,52100
52150,-37.79,52100
52200,-37.79,52150
52200,-38.11,52150
52250,-38.11,52200
52250,-38,52200
52300,-38,52250
52300,-38.07,52250
52350,-38.07,52300
52350,-38.01,52300
52400,-38.01,52350
52400,-37.77,52350
52450,-37.77,52400
52450,-38.33,52400
52500,-38.33,52450
52500,-38.19,52450
52550,-38.19,52500
52550,-37.51,52500
52600,-37.51,52550
52600,-38.11,52550
52650,-38.11,52600
52650,-38.12,52600
52700,-38.12,52650
52700,-38.68,52650
52750,-38.68,52700
52750,-37.87,52700
52800,-37.87,52750
52800,-38.21,52750
52850,-38.21,52800
52850,-37.72,52800
52900,-37.72,52850
52900,-36.74,52850
52950,-36.74,52900
52950,-37.46,52900
53000,-37.46,52950
53000,-37.41,52950
53050,-37.41,53000
53050,-37.71,53000
53100,-37.71,53050
53100,-37.59,53050
53150,-37.59,53100
53150,-37.92,53100
53200,-37.92,53150
53200,-37.52,53150
53250,-37.52,53200
53250,-38.04,53200
53300,-38.04,53250
53300,-37.92,53250
53350,-37.92,53300
53350,-37.24,53300
53400,-37.24,53350
53400,-37.3,53350
53450,-37.3,53400
53450,-37,53400
53500,-37,53450
53500,-37.06,53450
53550,-37.06,53500
53550,-36.85,53500
53600,-36.85,53550
53600,-37.01,53550
53650,-37.01,53600
53650,-37.21,53600
53700,-37.21,53650
53700,-37.89,53650
53750,-37.89,53700
53750,-37.42,53700
53800,-37.42,53750
53800,-36.98,53750
53850,-36.98,53800
53850,-36.36,53800
53900,-36.36,53850
53900,-36.85,53850
53950,-36.85,53900
53950,-37.68,53900
54000,-37.68,53950
54000,-37.82,53950
54050,-37.82,54000
54050,-37.1,54000
54100,-37.1,54050
54100,-36.99,54050
54150,-36.99,54100
54150,-36.98,54100
54200,-36.98,54150
54200,-38.61,54150
54250,-38.61,54200
54250,-41.01,54200
54300,-41.01,54250
54300,-40.79,54250
54350,-40.79,54300
54350,-40.17,54300
54400,-40.17,54350
54400,-40.24,54350
54450,-40.24,54400
54450,-40.49,54400
54500,-40.49,54450
54500,-39.4,54450
54550,-39.4,54500
54550,-40.96,54500
54600,-40.96,54550
54600,-40.69,54550
54650,-40.69,54600
54650,-40.39,54600
54700,-40.39,54650
54700,-39.9,54650
54750,-39.9,54700
54750,-40.31,54700
54800,-40.31,54750
54800,-39.81,54750
54850,-39.81,54800
54850,-38.96,54800
54900,-38.96,54850
54900,-37.1,54850
54950,-37.1,54900
54950,-36.81,54900
55000,-36.81,54950
55000,-39.94,54950
55050,-39.94,55000
55050,-40.28,55000
55100,-40.28,55050
55100,-40.42,55050
55150,-40.42,55100
55150,-40.34,55100
55200,-40.34,55150
55200,-40.32,55150
55250,-40.32,55200
55250,-41.64,55200
55300,-41.64,55250
55300,-40.1,55250
55350,-40.1,55300
55350,-40.7,55300
55400,-40.7,55350
55400,-37.55,55350
55450,-37.55,55400
55450,-37.23,55400
55500,-37.23,55450
55500,-37.55,55450
55550,-37.55,55500
55550,-37.56,55500
55600,-37.56,55550
55600,-37.27,55550
55650,-37.27,55600
55650,-37.71,55600
55700,-37.71,55650
55700,-37.32,55650
55750,-37.32,55700
55750,-38.33,55700
55800,-38.33,55750
55800,-40.45,55750
55850,-40.45,55800
55850,-41.12,55800
55900,-41.12,55850
55900,-39.69,55850
55950,-39.69,55900
55950,-40.7,55900
56000,-40.7,55950
56000,-39.91,55950
56050,-39.91,56000
56050,-39.88,56000
56100,-39.88,56050
56100,-40.12,56050
56150,-40.12,56100
56150,-39.81,56100
56200,-39.81,56150
56200,-39.57,56150
56250,-39.57,56200
56250,-40.22,56200
56300,-40.22,56250
56300,-40.56,56250
56350,-40.56,56300
56350,-39.54,56300
56400,-39.54,56350
56400,-39.45,56350
56450,-39.45,56400
56450,-39.59,56400
56500,-39.59,56450
56500,-39.62,56450
56550,-39.62,56500
56550,-39.18,56500
56600,-39.18,56550
56600,-38.21,56550
56650,-38.21,56600
56650,-38.18,56600
56700,-38.18,56650
56700,-37.91,56650
56750,-37.91,56700
56750,-38.29,56700
56800,-38.29,56750
56800,-38.34,56750
56850,-38.34,56800
56850,-39.24,56800
56900,-39.24,56850
56900,-38.87,56850
56950,-38.87,56900
56950,-38.76,56900
57000,-38.76,56950
57000,-39.53,56950
57050,-39.53,57000
57050,-38.58,57000
57100,-38.58,57050
57100,-38.59,57050
57150,-38.59,57100
57150,-38.8,57100
57200,-38.8,57150
57200,-38.84,57150
57250,-38.84,57200
57250,-38.32,57200
57300,-38.32,57250
57300,-38.38,57250
57350,-38.38,57300
57350,-38.41,57300
57400,-38.41,57350
57400,-38.44,57350
57450,-38.44,57400
57450,-38.44,57400
57500,-38.44,57450
57500,-38.26,57450
57550,-38.26,57500
57550,-38.63,57500
57600,-38.63,57550
57600,-37.53,57550
57650,-37.53,57600
57650,-37.37,57600
57700,-37.37,57650
57700,-37.86,57650
57750,-37.86,57700
57750,-37.18,57700
57800,-37.18,57750
57800,-37.04,57750
57850,-37.04,57800
57850,-37.38,57800
57900,-37.38,57850
57900,-37.95,57850
57950,-37.95,57900
57950,-37.19,57900
58000,-37.19,57950
58000,-37.46,57950
58050,-37.46,58000
58050,-39.76,58000
58100,-39.76,58050
58100,-39.34,58050
58150,-39.34,58100
58150,-38.3,58100
58200,-38.3,58150
58200,-36.25,58150
58250,-36.25,58200
58250,-39.27,58200
58300,-39.27,58250
58300,-40.96,58250
58350,-40.96,58300
58350,-40.35,58300
58400,-40.35,58350
58400,-40.29,58350
58450,-40.29,58400
58450,-40.3,58400
58500,-40.3,58450
58500,-39.63,58450
58550,-39.63,58500
58550,-39.3,58500
58600,-39.3,58550
58600,-37.81,58550
58650,-37.81,58600
58650,-37.56,58600
58700,-37.56,58650
58700,-36.93,58650
58750,-36.93,58700
58750,-38.22,58700
58800,-38.22,58750
58800,-38.71,58750
58850,-38.71,58800
58850,-37.25,58800
58900,-37.25,58850
58900,-36.81,58850
58950,-36.81,58900
58950,-36.64,58900
59000,-36.64,58950
59000,-36.75,58950
59050,-36.75,59000
59050,-39.1,59000
59100,-39.1,59050
59100,-40.19,59050
59150,-40.19,59100
59150,-40.86,59100
59200,-40.86,59150
59200,-40.33,59150
59250,-40.33,59200
59250,-39.04,59200
59300,-39.04,59250
59300,-37.19,59250
59350,-37.19,59300
59350,-36.37,59300
59400,-36.37,59350
59400,-38.23,59350
59450,-38.23,59400
59450,-40.42,59400
59500,-40.42,59450
59500,-41.2,59450
59550,-41.2,59500
59550,-41.05,59500
59600,-41.05,59550
59600,-40.64,59550
59650,-40.64,59600
59650,-40.74,59600
59700,-40.74,59650
59700,-40.47,59650
59750,-40.47,59700
59750,-41.74,59700
59800,-41.74,59750
59800,-41.44,59750
59850,-41.44,59800
59850,-41.58,59800
59900,-41.58,59850
59900,-40.74,59850
59950,-40.74,59900
59950,-41.51,59900
60000,-41.51,59950
60000,-41.46,59950
60050,-41.46,60000
60050,-41.82,60000
60100,-41.82,60050
60100,-40.76,60050
60150,-40.76,60100
60150,-40.31,60100
60200,-40.31,60150
60200,-40.33,60150
60250,-40.33,60200
60250,-40.52,60200
60300,-40.52,60250
60300,-40.47,60250
60350,-40.47,60300
60350,-40.32,60300
60400,-40.32,60350
60400,-39.97,60350
60450,-39.97,60400
60450,-40.58,60400
60500,-40.58,60450
60500,-40.84,60450
60550,-40.84,60500
60550,-40.92,60500
60600,-40.92,60550
60600,-41.22,60550
60650,-41.22,60600
60650,-41.08,60600
60700,-41.08,60650
60700,-40.68,60650
60750,-40.68,60700
60750,-41.02,60700
60800,-41.02,60750
60800,-41.17,60750
60850,-41.17,60800
60850,-41.49,60800
60900,-41.49,60850
60900,-41.12,60850
60950,-41.12,60900
60950,-40.57,60900
61000,-40.57,60950
61000,-39.86,60950
61050,-39.86,61000
61050,-40.26,61000
61100,-40.26,61050
61100,-41.85,61050
61150,-41.85,61100
61150,-40.95,61100
61200,-40.95,61150
61200,-40.37,61150
61250,-40.37,61200
61250,-41.43,61200
61300,-41.43,61250
61300,-40.42,61250
61350,-40.42,61300
61350,-40.65,61300
61400,-40.65,61350
61400,-41.15,61350
61450,-41.15,61400
61450,-41.61,61400
61500,-41.61,61450
61500,-41.35,61450
61550,-41.35,61500
61550,-41.51,61500
61600,-41.51,61550
61600,-40.85,61550
61650,-40.85,61600
61650,-40.84,61600
61700,-40.84,61650
61700,-39.94,61650
61750,-39.94,61700
61750,-41.02,61700
61800,-41.02,61750
61800,-40.73,61750
61850,-40.73,61800
61850,-41.47,61800
61900,-41.47,61850
61900,-41.08,61850
61950,-41.08,61900
61950,-41.42,61900
62000,-41.42,61950
62000,-40.78,61950
62050,-40.78,62000
62050,-41.1,62000
62100,-41.1,62050
62100,-41.68,62050
62150,-41.68,62100
62150,-42.25,62100
62200,-42.25,62150
62200,-41.97,62150
62250,-41.97,62200
62250,-41.91,62200
62300,-41.91,62250
62300,-41.76,62250
62350,-41.76,62300
62350,-41.32,62300
62400,-41.32,62350
62400,-42.01,62350
62450,-42.01,62400
62450,-41.83,62400
62500,-41.83,62450
62500,-41.96,62450
62550,-41.96,62500
62550,-41.67,62500
62600,-41.67,62550
62600,-41.48,62550
62650,-41.48,62600
62650,-40.88,62600
62700,-40.88,62650
62700,-41.45,62650
62750,-41.45,62700
62750,-41.6,62700
62800,-41.6,62750
62800,-41.41,62750
62850,-41.41,62800
62850,-42.15,62800
62900,-42.15,62850
62900,-41.39,62850
62950,-41.39,62900
62950,-41.64,62900
63000,-41.64,62950
63000,-42.14,62950
63050,-42.14,63000
63050,-41.5,63000
63100,-41.5,63050
63100,-41.04,63050
63150,-41.04,63100
63150,-41.9,63100
63200,-41.9,63150
63200,-41.02,63150
63250,-41.02,63200
63250,-40.77,63200
63300,-40.77,63250
63300,-40.94,63250
63350,-40.94,63300
63350,-40.68,63300
63400,-40.68,63350
