sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000146|560,560,Hanö|COUN000146|T8|560,55.7267,14.199779,Stratigraphic sequence,10232,9774,Nor
COUN000150|564,564,Hatfield: Tyrham Hall|COUN000150|S1|564,53.55,-0.9388889,Stratigraphic sequence,4870,4394,Nor
COUN000150|569,569,Hatfield: Tyrham Hall|COUN000150|Qu|569,53.55,-0.9388889,Stratigraphic sequence,5567,5367,Nor
COUN000152|591,591,Havre|COUN000152|Lower|591,49.083332,0.2,Stratigraphic sequence,9906,9023,Nor
COUN000161|674,674,"Heldalewater, Hoy|COUN000161|KPB2|674",58.883335,-3.3833334,Stratigraphic sequence,5000,4155,Nor
COUN000161|675,675,"Heldalewater, Hoy|COUN000161|KPB3|675",58.883335,-3.3833334,Stratigraphic sequence,5000,4155,Nor
COUN000165|679,679,Isleham|COUN000165|S1|679,52.35278,0.4125,Stratigraphic sequence,4802,4253,Nor
COUN000168|682,682,Järavallen 1|COUN000168|S1|682,55.7667,12.95,Stratigraphic sequence,7000,5000,Nor
COUN000179|757,757,Körslättamossen|COUN000179|S3|757,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|758,758,Körslättamossen|COUN000179|S4|758,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|759,759,Körslättamossen|COUN000179|S5|759,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|761,761,Körslättamossen|COUN000179|S7|761,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|762,762,Körslättamossen|COUN000179|S8|762,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|763,763,Körslättamossen|COUN000179|S9|763,56.1,13.066667,Stratigraphic sequence,10762,10245,Nor
COUN000179|764,764,Körslättamossen|COUN000179|S10|764,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|765,765,Körslättamossen|COUN000179|S11|765,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|767,767,Körslättamossen|COUN000179|S13|767,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|768,768,Körslättamossen|COUN000179|S14|768,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|769,769,Körslättamossen|COUN000179|S15|769,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|770,770,Körslättamossen|COUN000179|S16|770,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|771,771,Körslättamossen|COUN000179|S17|771,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|772,772,Körslättamossen|COUN000179|S18|772,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|773,773,Körslättamossen|COUN000179|S19|773,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|774,774,Körslättamossen|COUN000179|S20|774,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|775,775,Körslättamossen|COUN000179|S21|775,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|776,776,Körslättamossen|COUN000179|S22|776,56.1,13.066667,Stratigraphic sequence,13088,12716,Nor
COUN000179|777,777,Körslättamossen|COUN000179|S23|777,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|778,778,Körslättamossen|COUN000179|S24|778,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|779,779,Körslättamossen|COUN000179|S25|779,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|780,780,Körslättamossen|COUN000179|S26|780,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|781,781,Körslättamossen|COUN000179|S27|781,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|782,782,Körslättamossen|COUN000179|S28|782,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|783,783,Körslättamossen|COUN000179|S29|783,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|784,784,Körslättamossen|COUN000179|S30|784,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|785,785,Körslättamossen|COUN000179|S31|785,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|786,786,Körslättamossen|COUN000179|S32|786,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|787,787,Körslättamossen|COUN000179|S33|787,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|788,788,Körslättamossen|COUN000179|S34|788,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|789,789,Körslättamossen|COUN000179|S35|789,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|790,790,Körslättamossen|COUN000179|S36|790,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|791,791,Körslättamossen|COUN000179|S37|791,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|792,792,Körslättamossen|COUN000179|S38|792,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|793,793,Körslättamossen|COUN000179|S39|793,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|794,794,Körslättamossen|COUN000179|S40|794,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|795,795,Körslättamossen|COUN000179|S41|795,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|796,796,Körslättamossen|COUN000179|S42|796,56.1,13.066667,Stratigraphic sequence,12847,12556,Nor
COUN000179|798,798,Körslättamossen|COUN000179|S44|798,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|799,799,Körslättamossen|COUN000179|S45|799,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|800,800,Körslättamossen|COUN000179|S46|800,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|801,801,Körslättamossen|COUN000179|S47|801,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|803,803,Körslättamossen|COUN000179|S49|803,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000179|804,804,Körslättamossen|COUN000179|S50|804,56.1,13.066667,Stratigraphic sequence,12500,11500,Nor
COUN000181|824,824,Langford|COUN000181|S1|824,53.135555,-0.78305554,Stratigraphic sequence,4373,4092,Nor
COUN000185|832,832,Lea Marston B|COUN000185|S3|832,52.543335,-1.6916667,Stratigraphic sequence,11096,10444,Nor
COUN000185|833,833,Lea Marston B|COUN000185|S4|833,52.543335,-1.6916667,Stratigraphic sequence,11217,10258,Nor
COUN000185|834,834,Lea Marston B|COUN000185|S5|834,52.543335,-1.6916667,Stratigraphic sequence,11193,10245,Nor
COUN000185|835,835,Lea Marston B|COUN000185|S6|835,52.543335,-1.6916667,Stratigraphic sequence,11593,10222,Nor
COUN000185|836,836,Lea Marston B|COUN000185|S7|836,52.543335,-1.6916667,Stratigraphic sequence,11321,10270,Nor
COUN000186|837,837,Lea Marston A|COUN000186|S2|837,52.543335,-1.6916667,Stratigraphic sequence,13988,13150,Nor
