sample,trait,w,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
COUN001345|6308,Aq,0.125,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Di,0.375,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Ge,0.25,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Me,0.125,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Op,0.125,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Sa,0.125,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,We,0.375,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6308,Wo,0.25,6308,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Di,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Du,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Ge,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,IDu,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Pa,0.5,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Sa,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,St,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6309,Wo,0.25,6309,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6310,Ge,1,6310,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6311,Aq,0.333333333,6311,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6311,Di,0.333333333,6311,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6311,IRu,0.333333333,6311,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6311,Sa,0.333333333,6311,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6311,We,0.333333333,6311,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Aq,0.333333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Di,0.166666667,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Du,0.166666667,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Ge,0.166666667,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,IRu,0.333333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Mo,0.083333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Op,0.083333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Pa,0.166666667,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Sa,0.083333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,We,0.166666667,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6312,Wo,0.083333333,6312,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Aq,0.263157895,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Ca,0.157894737,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Du,0.368421053,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Ge,0.105263158,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
